Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
354,Jiri Novotny,2007,2007,1,18,0,6,6,-2,2,0,0,0,0,6,0,0,19,0,263,14:36
355,Milan Novy,1983,1983,1,73,18,30,48,4,16,15,3,0,3,22,8,0,132,13.6,,
356,Lawrence Nycholat,2007,2007,1,18,2,6,8,-3,12,2,0,0,0,4,2,0,22,9.1,370,20:32
357,Michael Nylander,2003,2009,4,186,37,91,128,-15,100,21,16,0,5,60,31,0,306,12.1,3149,16:56
358,Liam O'Brien,2015,2018,3,17,1,1,2,4,28,1,0,0,0,1,0,0,17,5.9,125,7:21
359,Adam Oates*,1997,2002,6,387,73,290,363,5,126,51,20,2,15,165,116,9,472,15.5,6204,21:33
360,Steven Oleksy,2013,2015,3,62,3,16,19,15,86,3,0,0,1,16,0,0,53,5.7,999,16:07
361,Dmitry Orlov,2012,2021,9,526,37,143,180,58,209,35,2,0,8,123,19,1,666,5.6,10443,19:51
362,Brooks Orpik,2015,2019,5,332,5,57,62,47,238,5,0,0,1,57,0,0,287,1.7,6316,19:01
363,Oskar Osala,2009,2009,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,17,8:44
364,T.J. Oshie,2016,2021,6,374,130,136,266,49,175,83,45,2,20,101,33,2,754,17.2,6901,18:27
365,Alex Ovechkin,2006,2021,16,1163,711,581,1292,78,721,446,261,4,111,354,226,1,5588,12.7,24358,20:57
366,John Paddock,1976,1976,1,8,1,1,2,-5,12,1,0,0,0,1,0,0,5,20,,
367,Richard Panik,2020,2021,2,74,10,17,27,11,44,9,1,0,1,17,0,0,92,10.9,860,11:37
368,Bob Paradise,1976,1977,2,70,0,13,13,-44,62,0,0,0,0,13,0,0,41,0,,
369,Doug Patey,1977,1979,3,45,4,2,6,-16,8,4,0,0,0,2,0,0,50,8,,
370,Craig Patrick*,1977,1979,3,75,9,18,27,-19,6,7,2,0,0,13,5,0,91,9.9,,
371,Kent Paynter,1990,1991,2,14,1,2,3,-7,33,1,0,0,0,2,0,0,15,6.7,,
372,Pat Peake,1994,1998,5,134,28,41,69,3,105,17,11,0,4,27,14,0,259,10.8,,
373,Rob Pearson,1995,1995,1,32,0,6,6,-6,96,0,0,0,0,5,1,0,34,0,,
374,Stephen Peat,2002,2006,4,130,8,2,10,-16,234,8,0,0,0,2,0,0,41,19.5,733,5:38
375,Andre Peloffy,1975,1975,1,9,0,0,0,-8,0,0,0,0,0,0,0,0,7,0,,
376,Anthony Peluso,2018,2018,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,,9,4:39
377,Dustin Penner,2014,2014,1,18,1,2,3,3,2,1,0,0,0,1,1,0,19,5.3,221,12:18
378,Mathieu Perreault,2010,2013,4,159,33,37,70,17,70,27,6,0,6,34,3,0,175,18.9,1879,11:49
379,Jorgen Pettersson,1986,1986,1,47,8,16,24,-4,10,6,2,0,3,12,4,0,74,10.8,,
